Ticker,MSFT,HDFCBANK.NS,TCEHY,SAP,RELIANCE.NS,ASML,NESN.SW,AMZN,005930.KS,6758.T,MC.PA,7203.T,TSLA,BABA,META,TCS.NS,NVDA,AAPL,JPM,JD
MSFT,1.0,0.0955100020906407,0.31463332843555847,0.5657356551203446,0.11745404027710929,0.6079491697543784,0.1423832320042069,0.6649018892545948,0.042954587242383956,0.08635368135584034,0.2965539808036516,0.06900522691953356,0.44914475066632203,0.28045567444227115,0.6235429151613694,0.14628726460247582,0.6756343839316516,0.7091070228382228,0.42666460641782183,0.30629362553621853
HDFCBANK.NS,0.0955100020906407,1.0,0.10374497478237611,0.1549780185041584,0.44045953162682594,0.107140711409759,0.14007128849060402,0.05535140635637877,0.1913369804077088,0.15502584475728556,0.2222197169515132,0.14150506442150132,0.10579591473368942,0.09227741282087205,0.07287273994216838,0.3024572468916789,0.06467230553409953,0.10322490337794879,0.2073754957783156,0.07115097578112134
TCEHY,0.31463332843555847,0.10374497478237611,1.0,0.3005730018578259,0.07641376324254251,0.3765908153176629,0.11776431928411883,0.2854331227326818,0.0979490131677076,0.09719134271849225,0.3038753211480752,0.05174794431690163,0.2763809512774147,0.7681791134975805,0.2913682210640682,0.10695523909417326,0.31103619231963475,0.3201083800714545,0.2144476119035648,0.7337177869515376
SAP,0.5657356551203446,0.1549780185041584,0.3005730018578259,1.0,0.18314286406956104,0.5753100481207768,0.1714403320637322,0.4827012811395433,0.09043319076446456,0.09684375459219999,0.38526316260708937,0.08569027248856514,0.353914031375263,0.27758314758424335,0.45410696500217196,0.1603674634250661,0.4843250692867135,0.5125067716528254,0.4247405777223747,0.29393625918996985
RELIANCE.NS,0.11745404027710929,0.44045953162682594,0.07641376324254251,0.18314286406956104,1.0,0.14578591563095036,0.13138895884725646,0.08468682197707644,0.21679892017457467,0.19308053814006712,0.22003907477335066,0.19249655741075075,0.12326671683082145,0.07538028522206906,0.11275376843942121,0.382158169621017,0.1238819016902489,0.11822963044333223,0.22508860943198905,0.08112939352751154
ASML,0.6079491697543784,0.107140711409759,0.3765908153176629,0.5753100481207768,0.14578591563095036,1.0,0.11383473431651152,0.5331577948201776,0.09827973564772938,0.07705568022097492,0.40617940938277936,0.07511393028667301,0.44377579520065674,0.3466179148961529,0.5027064308981596,0.13228819304365683,0.6936808124700171,0.5633461074022322,0.3906537258009024,0.37110038987412325
NESN.SW,0.1423832320042069,0.14007128849060402,0.11776431928411883,0.1714403320637322,0.13138895884725646,0.11383473431651152,1.0,0.05285067915187506,0.09393845310206787,0.11798993262113706,0.30897303059339076,0.11321021138518977,0.06420057844473062,0.09825755508726013,0.08822372736628131,0.10615770644449836,0.04314909308997805,0.15943239172377027,0.11150309079906892,0.09898403316159327
AMZN,0.6649018892545948,0.05535140635637877,0.2854331227326818,0.4827012811395433,0.08468682197707644,0.5331577948201776,0.05285067915187506,1.0,0.03272790949277882,0.09337884303518676,0.23746056679033514,0.06090977759533708,0.4479344878776909,0.29383338926626706,0.6159939620636724,0.13034769236504115,0.5784149325179265,0.5881264411322765,0.29861222703475093,0.30754813866623426
005930.KS,0.042954587242383956,0.1913369804077088,0.0979490131677076,0.09043319076446456,0.21679892017457467,0.09827973564772938,0.09393845310206787,0.03272790949277882,1.0,0.2895087971882955,0.20958998524515657,0.2728752602603421,0.04452553820444675,0.10651646024445899,0.05886031116158662,0.2344108487877631,0.08185141918135197,0.07165931292301218,0.11945936249249903,0.1090137032926324
6758.T,0.08635368135584034,0.15502584475728556,0.09719134271849225,0.09684375459219999,0.19308053814006712,0.07705568022097492,0.11798993262113706,0.09337884303518676,0.2895087971882955,1.0,0.15929455104473936,0.5068039332856332,0.09626597787614972,0.0846469979424726,0.09518473222223504,0.20398912872706254,0.10530091723954298,0.12335172731377626,0.13612149039011814,0.106663269302727
MC.PA,0.2965539808036516,0.2222197169515132,0.3038753211480752,0.38526316260708937,0.22003907477335066,0.40617940938277936,0.30897303059339076,0.23746056679033514,0.20958998524515657,0.15929455104473936,1.0,0.1854280048742915,0.2139045461901215,0.283422808683214,0.24043234820007933,0.22307983656084782,0.25384334480172327,0.29252120809339827,0.3632642955985059,0.28998444782323773
7203.T,0.06900522691953356,0.14150506442150132,0.05174794431690163,0.08569027248856514,0.19249655741075075,0.07511393028667301,0.11321021138518977,0.06090977759533708,0.2728752602603421,0.5068039332856332,0.1854280048742915,1.0,0.07135500597374246,0.06559815364830882,0.05010793611073371,0.1385165078682411,0.0810672207036206,0.09488420926056938,0.15719428352006426,0.05420130328149255
TSLA,0.44914475066632203,0.10579591473368942,0.2763809512774147,0.353914031375263,0.12326671683082145,0.44377579520065674,0.06420057844473062,0.4479344878776909,0.04452553820444675,0.09626597787614972,0.2139045461901215,0.07135500597374246,1.0,0.2814107829045,0.3561729287789572,0.1502915511462918,0.475695981841546,0.4903923366852015,0.30064408188856356,0.2883432714505379
BABA,0.28045567444227115,0.09227741282087205,0.7681791134975805,0.27758314758424335,0.07538028522206906,0.3466179148961529,0.09825755508726013,0.29383338926626706,0.10651646024445899,0.0846469979424726,0.283422808683214,0.06559815364830882,0.2814107829045,1.0,0.31501757923861284,0.10793940588910064,0.2996178109413117,0.31870626347412956,0.21199982250581376,0.7578388105026967
META,0.6235429151613694,0.07287273994216838,0.2913682210640682,0.45410696500217196,0.11275376843942121,0.5027064308981596,0.08822372736628131,0.6159939620636724,0.05886031116158662,0.09518473222223504,0.24043234820007933,0.05010793611073371,0.3561729287789572,0.31501757923861284,1.0,0.14237238854469159,0.5356724809604424,0.5503543882936869,0.3248002772045668,0.2925293740935069
TCS.NS,0.14628726460247582,0.3024572468916789,0.10695523909417326,0.1603674634250661,0.382158169621017,0.13228819304365683,0.10615770644449836,0.13034769236504115,0.2344108487877631,0.20398912872706254,0.22307983656084782,0.1385165078682411,0.1502915511462918,0.10793940588910064,0.14237238854469159,1.0,0.12971314488433797,0.13699845970736624,0.19418415425106234,0.09666598017844133
NVDA,0.6756343839316516,0.06467230553409953,0.31103619231963475,0.4843250692867135,0.1238819016902489,0.6936808124700171,0.04314909308997805,0.5784149325179265,0.08185141918135197,0.10530091723954298,0.25384334480172327,0.0810672207036206,0.475695981841546,0.2996178109413117,0.5356724809604424,0.12971314488433797,1.0,0.5786070587174967,0.34156041430500667,0.33101771833969545
AAPL,0.7091070228382228,0.10322490337794879,0.3201083800714545,0.5125067716528254,0.11822963044333223,0.5633461074022322,0.15943239172377027,0.5881264411322765,0.07165931292301218,0.12335172731377626,0.29252120809339827,0.09488420926056938,0.4903923366852015,0.31870626347412956,0.5503543882936869,0.13699845970736624,0.5786070587174967,1.0,0.4217076019291597,0.33234072249640184
JPM,0.42666460641782183,0.2073754957783156,0.2144476119035648,0.4247405777223747,0.22508860943198905,0.3906537258009024,0.11150309079906892,0.29861222703475093,0.11945936249249903,0.13612149039011814,0.3632642955985059,0.15719428352006426,0.30064408188856356,0.21199982250581376,0.3248002772045668,0.19418415425106234,0.34156041430500667,0.4217076019291597,1.0,0.2099338367153702
JD,0.30629362553621853,0.07115097578112134,0.7337177869515376,0.29393625918996985,0.08112939352751154,0.37110038987412325,0.09898403316159327,0.30754813866623426,0.1090137032926324,0.106663269302727,0.28998444782323773,0.05420130328149255,0.2883432714505379,0.7578388105026967,0.2925293740935069,0.09666598017844133,0.33101771833969545,0.33234072249640184,0.2099338367153702,1.0
